Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID,EMPLOYEEID
,63123,162,1405,2010-05-26 10:44:55.313000,2010-06-10 23:59:59,,,151407,1610,551258,583593,91
,63124,163,1602,2010-05-26 10:44:58.687000,2010-06-10 23:59:59,,,151408,1814,551259,581791,91
,63157,167,1418,2010-05-27 08:14:11.970000,2010-05-27 23:59:59,,,151466,1624,551459,548986,91
,63155,165,1431,2010-05-27 08:13:31.407000,2010-05-27 23:59:59,,,151464,1637,551460,548984,91
,63156,166,1555,2010-05-27 08:13:54.093000,2010-05-27 23:59:59,,,151465,1764,551463,548985,91
,63364,172,1310,2010-05-28 07:44:01.877000,2010-05-28 23:59:59,,,151800,1513,551942,549318,91
,63361,169,1342,2010-05-28 07:42:50.640000,2010-05-28 23:59:59,,,151797,1545,551943,549315,91
,63365,173,1469,2010-05-28 07:44:19.280000,2010-05-28 23:59:59,,,151801,1675,551945,549319,91
,63362,170,1497,2010-05-28 07:43:12.673000,2010-05-28 23:59:59,,,151798,1703,551946,549316,91
,63363,171,1525,2010-05-28 07:43:30.923000,2010-05-28 23:59:59,,,151799,1732,551948,549317,91
,63360,168,1436,2010-05-28 07:41:17.377000,2010-06-12 23:59:59,,,151796,1642,552086,587660,91
,69629,174,1518,2010-06-01 13:30:16.907000,2010-06-15 23:59:59,,,162227,1724,552882,582966,93
,69631,176,1309,2010-06-01 13:31:40.860000,2010-06-01 00:00:00,,,162230,1512,553164,581317,93
,69634,179,1330,2010-06-01 13:34:27.860000,2010-06-01 00:00:00,,,162233,1533,553166,581326,93
,69632,177,1339,2010-06-01 13:32:31.500000,2010-06-01 00:00:00,,,162231,1542,553167,581321,93
,69636,181,1345,2010-06-01 13:35:10.877000,2010-06-01 00:00:00,,,162235,1548,553168,581328,93
,69630,175,1371,2010-06-01 13:31:13.047000,2010-06-01 00:00:00,,,162229,1574,553172,581316,93
,69635,180,1508,2010-06-01 13:34:48.077000,2010-06-01 00:00:00,,,162234,1714,553183,581327,93
,69633,178,1605,2010-06-01 13:32:59.970000,2010-06-01 00:00:00,,,162232,1822,553192,581323,93
,70967,233,1358,2010-06-17 08:25:37.177000,2010-07-02 23:59:59,,,164156,1561,585474,581237,91
,70967,233,1358,2010-06-17 08:25:37.177000,2010-07-02 23:59:59,,,164156,1561,585474,615058,91
,69629,174,1518,2010-06-01 13:30:16.907000,2010-06-15 23:59:59,,,162228,1724,585489,582967,93
