Totals & Averages,RECEIPTID,TENANTID,EMPLOYEEID,DCAMT,DRCPT,IRECEIPTNUM,PAYMENTID
,243144,1508,91,94,2010-04-01 09:47:20.593000,91,405254
,243152,1330,91,63,2010-04-01 10:06:14.517000,92,405267
,243154,1309,91,83,2010-04-01 10:10:37.483000,93,405275
,243155,1339,91,70,2010-04-01 10:13:10.327000,94,405276
,243156,1345,91,63,2010-04-01 10:14:38.547000,95,405277
,243158,1371,91,63,2010-04-01 10:17:03.157000,96,405279
,243161,1605,91,188,2010-04-01 10:19:46.907000,97,405283
,243164,1444,91,189,2010-04-01 10:37:05.437000,98,405286
,243164,1444,91,189,2010-04-01 10:37:05.437000,98,405287
,243164,1444,91,189,2010-04-01 10:37:05.437000,98,405288
,243233,1481,91,30,2010-04-01 11:17:33.673000,99,405369
,243233,1481,91,30,2010-04-01 11:17:33.673000,99,405370
,243246,1481,91,93,2010-04-01 11:20:33.313000,100,405384
,243247,1481,91,93,2010-04-01 11:21:48.313000,101,405385
,243298,1301,93,329,2010-04-01 13:47:41.093000,102,405473
,243298,1301,93,329,2010-04-01 13:47:41.093000,102,405474
,243298,1301,93,329,2010-04-01 13:47:41.093000,102,405475
,243298,1301,93,329,2010-04-01 13:47:41.093000,102,405476
,243298,1301,93,329,2010-04-01 13:47:41.093000,102,405477
,243298,1301,93,329,2010-04-01 13:47:41.093000,102,405478
,243300,1301,93,30,2010-04-01 13:50:24.890000,103,405480
,243328,1312,93,186,2010-04-01 14:59:26.703000,104,405531
,243328,1312,93,186,2010-04-01 14:59:26.703000,104,405532
,243329,1358,93,69,2010-04-01 15:00:29.377000,105,405533
,243347,1519,93,75,2010-04-01 15:29:44.673000,106,405558
,243382,1494,93,139,2010-04-01 16:30:44.687000,107,405607
,243382,1494,93,139,2010-04-01 16:30:44.687000,107,405608
,243494,1502,91,0,2010-04-02 09:05:09,108,405756
,243499,1349,91,46,2010-04-02 09:15:23.127000,110,405764
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405772
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405773
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405774
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405775
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405776
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405777
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405778
,243506,1361,91,1080,2010-04-02 09:40:45.377000,111,405779
